price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,Price_sqft
5600000,"Noida Extension, Noida, Delhi NCR",1350,28.60885,77.46056,3,3,,Under Construction,New Property,,,2,,Flat,4148.148148
8800000,"Sector 79, Gurgaon, Delhi NCR",1490,28.37423557,76.95241631,3,3,,Ready to Move,New Property,,Semi-Furnished,2,,Flat,5906.040268
16500000,"Vaishali, Ghaziabad, Delhi NCR",2385,28.645769,77.38511,4,5,,Ready to Move,New Property,1,Unfurnished,,,Flat,6918.238994
3810000,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050,28.566914,77.436434,2,2,3,,New Property,1,Unfurnished,2,near Gaur Mulberry Mansion,Flat,3628.571429
6200000,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350,28.520732,77.356491,2,2,3,Ready to Move,Resale,1,,3,,Flat,4592.592593
3700000,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150,28.62804,77.437809,2,2,3,Ready to Move,New Property,,,,,Flat,3217.391304
3270000,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890,28.610645,77.455837,2,2,3,Ready to Move,Resale,1,,2,"within 10km   Ryan,Sarvottam School, yathartha hospital ,city mall,",Flat,3674.157303
3990000,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850,28.471233,76.969597,2,2,1,Ready to Move,Resale,1,,,Suncity Avenue 102,Flat,4694.117647
3500000,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960,28.5814311,77.4528192,2,2,2,Ready to Move,Resale,,,,,Flat,3645.833333
5500000,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400,28.614181,77.427713,3,3,4,Ready to Move,Resale,1,,2,"Gaur City Mall, Near Gaur Stadium, City Plaza Market, Bank's and ATM's",Flat,3928.571429
7300000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850,28.72407532,77.09558105,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Flat,8588.235294
7700000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250,28.436305,77.13605,2,2,2,Ready to Move,Resale,,,,,Flat,6160
10500000,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615,28.51313972,77.0259552,3,3,3,Ready to Move,Resale,,Unfurnished,,"Dwarka Express way, Ansal Mall, Metro Hospitals, DPSG School etc.",Flat,6501.547988
7200000,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200,28.50746138,77.40781667,2,2,3,Ready to Move,Resale,,,,Near Noida 137 Metro Station and Felix Hospital,Flat,6000
7000000,"G T Road, Ghaziabad, Delhi NCR",1690,28.679009,77.34929514,3,3,,Ready to Move,Resale,,,,,Flat,4142.011834
9500000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000,28.72143555,77.10701752,3,2,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by the sovereign school,Individual House,9500
15000000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450,28.72721291,77.09606171,4,3,1,Ready to Move,New Property,2,Semi-Furnished,1,Near by shri jagannath mandir,Individual House,10344.82759
4800000,"Noida Extension, Noida, Delhi NCR",1175,28.61607805,77.42810225,2,2,,Ready to Move,Resale,,,,,Flat,4085.106383
5100000,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087,28.64431,77.33178711,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Prime location surrounded by malls and hospitals along NH-58 near Dabar factory. In between Vaishali and Kaushambi metro stations and very close to Anand Vihar Railway Station.,Flat,4691.812328
14000000,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845,28.54692971,77.35438729,3,3,3,,Resale,2,Semi-Furnished,2,noida expressway,Flat,7588.075881
6250000,"Sector 37C, Gurgaon, Delhi NCR",1400,28.449384,76.98441,2,2,2,Ready to Move,New Property,,,,,Flat,4464.285714
8700000,"Sushant Lok 2, Gurgaon, Delhi NCR",1600,28.423049,77.08741,3,2,1,Ready to Move,Resale,,Unfurnished,,near hongcong bazar,Flat,5437.5
13000000,"Sector 29, Noida, Delhi NCR",1950,28.56973716,77.33241167,3,3,2,Ready to Move,Resale,,,,,Individual House,6666.666667
15000000,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800,28.529146,77.355843,2,3,1,Ready to Move,New Property,,,,,Flat,8333.333333
